14:15:11,1789902911,teardown,1551
14:15:13,1789902913,teardown,1551
14:15:15,1789902915,teardown,1551
14:15:17,1789902917,teardown,1551
14:15:19,1789902919,teardown,1551
14:15:21,1789902921,teardown,2057
14:15:23,1789902923,teardown,2057
14:15:25,1789902925,teardown,7721
14:15:27,1789902927,teardown,11425
14:15:29,1789902929,teardown,11435
14:15:31,1789902931,teardown,11447
14:15:33,1789902933,teardown,11457
14:15:35,1789902935,teardown,11465
14:15:37,1789902937,teardown,11481
14:15:39,1789902939,teardown,11493
14:15:41,1789902941,teardown,11505
14:15:43,1789902943,teardown,11515
14:15:45,1789902945,teardown,11527
14:15:48,1789902948,teardown,11533
14:15:50,1789902950,teardown,11545
14:15:52,1789902952,teardown,11551
14:15:54,1789902954,teardown,11557
14:15:56,1789902956,teardown,11563
14:15:58,1789902958,teardown,11569
14:16:00,1789902960,teardown,11571
14:16:02,1789902962,teardown,11577
14:16:04,1789902964,teardown,11581
14:16:06,1789902966,teardown,11587
14:16:08,1789902968,teardown,11593
14:16:10,1789902970,teardown,11599
14:16:12,1789902972,teardown,11603
14:16:14,1789902974,teardown,11609
14:16:17,1789902977,teardown,11609
14:16:19,1789902979,teardown,11609
14:16:22,1789902982,teardown,11609
14:16:24,1789902984,teardown,11611
14:16:26,1789902986,teardown,11615
14:16:28,1789902988,teardown,11621
14:16:30,1789902990,teardown,11627
14:16:32,1789902992,teardown,11633
14:16:34,1789902994,teardown,11643
14:16:36,1789902996,teardown,11651
14:16:38,1789902998,teardown,11657
14:16:40,1789903000,teardown,11663
14:16:42,1789903002,teardown,26503
14:16:44,1789903004,teardown,26503
14:16:46,1789903006,teardown,26569
14:16:48,1789903008,teardown,26569
14:16:50,1789903010,fill,26569
14:16:52,1789903012,fill,29169
14:16:54,1789903014,fill,29169
14:16:56,1789903016,fill,29229
14:16:58,1789903018,fill,29851
14:17:00,1789903020,fill,29851
14:17:02,1789903022,fill,29851
14:17:04,1789903024,fill,30397
14:17:06,1789903026,fill,30457
14:17:08,1789903028,fill,30457
14:17:10,1789903030,fill,30457
14:17:13,1789903033,fill,30457
14:17:15,1789903035,fill,30459
14:17:17,1789903037,fill,30519
14:17:19,1789903039,fill,30519
14:17:21,1789903041,fill,30519
14:17:23,1789903043,fill,30519
14:17:25,1789903045,fill,30519
14:17:27,1789903047,fill,30599
14:17:29,1789903049,fill,30599
14:17:31,1789903051,fill,30599
14:17:33,1789903053,fill,30599
14:17:35,1789903055,fill,30599
14:17:37,1789903057,fill,30599
14:17:39,1789903059,fill,30599
14:17:41,1789903061,fill,30599
14:17:43,1789903063,fill,30599
14:17:45,1789903065,fill,30599
14:17:47,1789903067,fill,30599
14:17:49,1789903069,fill,30599
14:17:51,1789903071,fill,30599
14:17:53,1789903073,fill,30599
14:17:55,1789903075,fill,30599
14:17:57,1789903077,fill,30599
14:17:59,1789903079,fill,30599
14:18:01,1789903081,fill,30599
14:18:03,1789903083,fill,30599
14:18:05,1789903085,fill,30599
14:18:07,1789903087,fill,30599
14:18:09,1789903089,fill,30599
14:18:11,1789903091,fill,30599
14:18:13,1789903093,fill,30599
14:18:15,1789903095,fill,30599
14:18:17,1789903097,fill,30599
14:18:19,1789903099,fill,30599
14:18:21,1789903101,fill,30599
14:18:23,1789903103,fill,30599
14:18:25,1789903105,fill,30599
14:18:27,1789903107,fill,30599
14:18:29,1789903109,decode,30603
14:18:31,1789903111,decode,30603
14:18:33,1789903113,decode,30603
14:18:35,1789903115,decode,30603
14:18:37,1789903117,battery,30603
14:18:39,1789903119,battery,30603
14:18:41,1789903121,battery,30603
14:18:43,1789903123,battery,30603
14:18:45,1789903125,battery,30603
14:18:47,1789903127,battery,30603
14:18:49,1789903129,battery,30603
14:18:51,1789903131,battery,30603
14:18:54,1789903134,battery,30603
14:18:56,1789903136,battery,30603
14:18:58,1789903138,battery,30603
14:19:00,1789903140,battery,30603
14:19:02,1789903142,battery,30603
14:19:04,1789903144,battery,30603
14:19:06,1789903146,battery,30603
14:19:08,1789903148,battery,30603
14:19:10,1789903150,battery,30603
14:19:12,1789903152,battery,30603
14:19:14,1789903154,battery,30603
14:19:16,1789903156,battery,30603
14:19:18,1789903158,battery,30603
14:19:20,1789903160,battery,30603
14:19:22,1789903162,battery,30603
14:19:24,1789903164,battery,30603
14:19:26,1789903166,battery,30603
14:19:28,1789903168,battery,30603
14:19:30,1789903170,teardown,30603
14:19:32,1789903172,teardown,30350
14:19:34,1789903174,teardown,30350
14:19:41,1789903181,teardown,1551
14:19:43,1789903183,teardown,1551
